id,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,aggregated_rating,aggregated_rating_count,game_engines,game_modes,player_perspectives
The Coffin of Andy and Leyley,"22,491",792,"23,283",94.34%,main_game,1697155200,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Visual Novel']",,,['Rpgmaker'],['Single player'],"['Bird view / Isometric', 'Text']"
Half-Life 2: VR Mod,"6,009",135,"6,144",94.34%,mod,1663286400,['SteamVR'],"['Shooter', 'Adventure']",,,['Source'],['Single player'],['Virtual Reality']
"巫兎 - KANNAGI USAGI - ",,,,,,,,,,,,,
Crow Country,"3,359",50,"3,409",94.34%,main_game,1715212800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Nintendo Switch']","['Shooter', 'Puzzle', 'Adventure', 'Indie']",79.0,4.0,['Unity'],['Single player'],['Bird view / Isometric']
Age of Empires II (2013),"95,956","4,245","100,201",94.33%,remaster,1365465600,['PC (Microsoft Windows)'],"['Real Time Strategy (RTS)', 'Strategy']",50.0,1.0,['Genie Engine'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
Stacklands,"23,557",847,"24,404",94.31%,main_game,1649376000,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Simulator', 'Strategy', 'Indie', 'Card & Board Game']",,,,['Single player'],['Bird view / Isometric']
The Upturned,"2,077",16,"2,093",94.31%,main_game,1647993600,['PC (Microsoft Windows)'],"['Adventure', 'Indie']",,,['Unity'],['Single player'],['Third person']
Thronefall,"14,582",468,"15,050",94.30%,main_game,1690934400,['PC (Microsoft Windows)'],"['Fighting', 'Strategy', 'Tactical', 'Indie', 'Arcade']",,,,['Single player'],['Bird view / Isometric']
Psychopomp,"4,183",77,"4,260",94.30%,main_game,1706572800,['PC (Microsoft Windows)'],"['Adventure', 'Indie']",,,['Godot Engine'],['Single player'],['First person']
Aokana - EXTRA2,"1,548",4,"1,552",94.30%,main_game,1653609600,['PC (Microsoft Windows)'],"['Sport', 'Adventure', 'Visual Novel']",,,,['Single player'],['Text']
Sekiro™: Shadows Die Twice,"286,145","14,075","300,220",94.29%,main_game,1553212800,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 4', 'Xbox One']",['Adventure'],90.0909090909091,17.0,,['Single player'],['Third person']
NEKOPARA Vol. 4,"8,230",219,"8,449",94.29%,main_game,1606348800,"['PC (Microsoft Windows)', 'PlayStation 4', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",,,['KiriKiri'],['Single player'],['Text']
Peggle Deluxe,"8,887",245,"9,132",94.28%,main_game,1173139200,"['PC (Microsoft Windows)', 'Mac']",[],,,,['Single player'],
Dying Light,"409,692","20,754","430,446",94.27%,main_game,1422230400,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One', 'Linux', 'Mac']","['Shooter', 'Role-playing (RPG)', 'Adventure']",72.05882352941177,20.0,['Chrome Engine'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
DOOM,"185,890","8,893","194,783",94.27%,remaster,1564099200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Nintendo Switch']",['Shooter'],,,,"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Tiny Bunny,"17,999",616,"18,615",94.27%,main_game,1618531200,['PC (Microsoft Windows)'],"['Adventure', 'Indie', 'Visual Novel']",,,,['Single player'],"['Side view', 'Text']"
BAD END THEATER,"7,243",185,"7,428",94.26%,main_game,1635206400,"['PC (Microsoft Windows)', 'Android', 'Linux', 'Mac']","['Simulator', 'Adventure', 'Indie', 'Visual Novel']",,,,['Single player'],"['Third person', 'Text']"
Your Only Move Is HUSTLE,"24,389",899,"25,288",94.25%,main_game,1675382400,"['PC (Microsoft Windows)', 'Linux']","['Fighting', 'Simulator', 'Strategy', 'Indie']",,,['Godot'],"['Single player', 'Multiplayer']",['Side view']
The Test: Hypothesis Rising,"5,665",129,"5,794",94.25%,main_game,1587945600,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",,,,['Single player'],['Bird view / Isometric']
Aokana - Four Rhythms Across the Blue,"5,160",112,"5,272",94.25%,main_game,1456358400,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Android', 'iOS', 'Nintendo Switch']","['Adventure', 'Visual Novel']",70.0,2.0,['BGI/Ethornell'],['Single player'],['Text']
The Walking Dead: The Telltale Definitive Series,"22,041",797,"22,838",94.24%,bundle,1568073600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One']","['Point-and-click', 'Adventure']",75.0,3.0,,['Single player'],['Third person']
Samsara Room,"8,380",229,"8,609",94.24%,main_game,1378339200,['Web browser'],"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",,,,['Single player'],['First person']
Kindergarten 2,"4,434",88,"4,522",94.24%,main_game,1425945600,['PC (Microsoft Windows)'],"['Puzzle', 'Strategy']",,,,,
Resident Evil Village,"106,413","4,895","111,308",94.22%,bundle,1620345600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']",['Adventure'],,,['RE Engine'],['Single player'],['First person']
Handshakes,"2,375",26,"2,401",94.22%,main_game,1655596800,"['PC (Microsoft Windows)', 'Linux', 'Web browser', 'Mac']","['Puzzle', 'Indie']",,,,"['Single player', 'Co-operative']",['Side view']
Unheard,"29,184","1,127","30,311",94.21%,main_game,1553817600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Simulator', 'Indie']",65.0,1.0,['Unity'],['Single player'],"['Bird view / Isometric', 'Auditory']"
Bopl Battle,"12,291",388,"12,679",94.21%,main_game,1700092800,['PC (Microsoft Windows)'],['Strategy'],,,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
NEKOPARA Vol. 3,"11,474",354,"11,828",94.21%,main_game,1495670400,"['PC (Microsoft Windows)', 'PlayStation 4', 'Nintendo Switch']","['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",85.0,2.0,['CatSystem2'],['Single player'],['Text']
Marco & The Galaxy Dragon,"6,497",162,"6,659",94.21%,main_game,1582848000,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Simulator', 'Adventure', 'Visual Novel']",,,,['Single player'],
Fallen Aces,"4,382",88,"4,470",94.21%,main_game,1718323200,['PC (Microsoft Windows)'],"['Shooter', 'Indie']",,,['Unity'],['Single player'],['First person']
"Titanfall® 2 ",,,,,,,,,,,,,
Enter the Gungeon,"77,683","3,491","81,174",94.18%,main_game,1459814400,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Shooter', 'Adventure', 'Indie', 'Arcade']",82.46153846153847,16.0,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
The Planet Crafter,"39,981","1,644","41,625",94.18%,dlc_addon,1728432000,['PC (Microsoft Windows)'],['Adventure'],,,,"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Milo and the Magpies,"2,864",41,"2,905",94.18%,main_game,1630972800,"['PC (Microsoft Windows)', 'iOS', 'Mac']","['Point-and-click', 'Puzzle', 'Adventure']",,,,['Single player'],
Monster Prom 3: Monster Roadtrip,"2,828",40,"2,868",94.18%,main_game,1666310400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Strategy', 'Adventure', 'Indie', 'Visual Novel']",,,['Unity'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Text']
Danganronpa 2: Goodbye Despair,"24,234",914,"25,148",94.17%,main_game,1343260800,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation Portable', 'Linux', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Adventure', 'Visual Novel']",85.0,10.0,,['Single player'],"['First person', 'Third person']"
Saints Row: The Third,"65,195","2,892","68,087",94.15%,main_game,1321315200,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Linux', 'Nintendo Switch']","['Shooter', 'Racing', 'Adventure']",84.5,13.0,['Havok'],"['Single player', 'Multiplayer', 'Co-operative']","['Third person', 'Side view']"
Shadow Tactics: Blades of the Shogun,"34,842","1,415","36,257",94.14%,main_game,1480982400,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",86.72727272727273,13.0,['Unity'],['Single player'],['Bird view / Isometric']
BABBDI,"5,147",118,"5,265",94.14%,main_game,1671667200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Adventure', 'Indie']",,,['Unity'],['Single player'],['First person']
Teardown,"92,114","4,274","96,388",94.13%,main_game,1650499200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Puzzle', 'Simulator', 'Strategy', 'Indie']",83.33333333333333,3.0,,['Single player'],"['First person', 'Third person']"
WITCH ON THE HOLY NIGHT,"3,469",62,"3,531",94.12%,remaster,1670371200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Nintendo Switch']","['Adventure', 'Visual Novel']",,,,['Single player'],['Text']
Outer Wilds,"69,017","3,111","72,128",94.11%,main_game,1559001600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Adventure', 'Indie']",84.71428571428571,7.0,['Unity'],['Single player'],['First person']
Supreme Commander: Forged Alliance,"12,524",412,"12,936",94.11%,standalone_expansion,1194307200,"['PC (Microsoft Windows)', 'Linux']","['Real Time Strategy (RTS)', 'Strategy']",75.0,3.0,,"['Single player', 'Multiplayer']",['Bird view / Isometric']
Universe Sandbox,"24,020",923,"24,943",94.10%,main_game,1440374400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Indie']",,,,['Single player'],['Virtual Reality']
Beat Saber,"70,044","3,182","73,226",94.09%,main_game,1558396800,"['SteamVR', 'Oculus VR', 'Oculus Quest', 'Oculus Rift', 'Windows Mixed Reality', 'Meta Quest 2', 'PlayStation VR', 'PlayStation VR2', 'Meta Quest 3']","['Music', 'Sport', 'Indie']",85.0,4.0,['Unity'],"['Single player', 'Multiplayer']","['First person', 'Auditory', 'Virtual Reality']"
"Your Turn To Die -Death Game By Majority- ","1,985",19,"2,004",94.08%,main_game,1503878400,"['PC (Microsoft Windows)', 'Web browser']","['Adventure', 'Indie', 'Visual Novel']",,,['RPG Maker MV'],['Single player'],['Text']
Smushi Come Home,"1,872",16,"1,888",94.08%,main_game,1686355200,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",,,['Unity'],['Single player'],['Third person']
DOOM + DOOM II,"21,047",794,"21,841",94.07%,bundle,1723075200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Shooter', 'Arcade']",,,['KEX'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['First person']
Scarlet Hollow,"2,288",28,"2,316",94.06%,main_game,1623369600,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Point-and-click', 'Role-playing (RPG)', 'Indie', 'Visual Novel']",,,['renpy'],['Single player'],['First person']
Felvidek,"2,147",24,"2,171",94.06%,main_game,1711670400,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Indie']",,,,['Single player'],"['First person', 'Bird view / Isometric', 'Text']"
SOMA,"39,541","1,678","41,219",94.05%,main_game,1442793600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Puzzle', 'Adventure', 'Indie']",81.25,17.0,['HPL Engine'],['Single player'],['First person']
Ghost Trick: Phantom Detective,"4,672",106,"4,778",94.05%,remaster,1688083200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Nintendo Switch']","['Puzzle', 'Adventure']",86.33333333333333,6.0,['RE Engine'],['Single player'],['Side view']
HuniePop,"29,266","1,190","30,456",94.03%,main_game,1421625600,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie', 'Visual Novel']",82.5,3.0,,['Single player'],"['First person', 'Text']"
Desperados III,"13,281",456,"13,737",94.03%,main_game,1592265600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",85.88888888888889,11.0,['Unity'],['Single player'],['Bird view / Isometric']
Ultimate Chicken Horse,"42,684","1,856","44,540",94.01%,main_game,1457049600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie', 'Arcade']",79.4,5.0,['Unity'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Side view']
Find Love or Die Trying,"11,516",382,"11,898",94.01%,main_game,1631750400,"['PC (Microsoft Windows)', 'Mac']","['Indie', 'Visual Novel']",,,['Unity'],['Single player'],['Text']
Baldi's Basics Plus,"5,646",144,"5,790",94.01%,main_game,1591833600,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Strategy', 'Indie']",,,['Unity'],['Single player'],['First person']
Dialtown: Phone Dating Sim,"1,691",13,"1,704",94.00%,main_game,1644796800,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac']","['Simulator', 'Indie', 'Visual Novel']",,,,['Single player'],"['Side view', 'Text']"
Vampires' Melody,"4,876",117,"4,993",93.99%,main_game,1601596800,"['PC (Microsoft Windows)', 'Mac']","['Indie', 'Visual Novel']",,,,,
Class of '09: The Re-Up,"3,286",61,"3,347",93.99%,main_game,1685577600,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Simulator', 'Indie']",,,,['Single player'],
Yakuza 0,"66,029","3,058","69,087",93.98%,main_game,1426118400,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure']",86.0,22.0,,"['Single player', 'Multiplayer']",['Third person']
Opus Magnum,"5,594",144,"5,738",93.98%,main_game,1512604800,['PC (Microsoft Windows)'],"['Simulator', 'Strategy', 'Adventure', 'Indie']",,,['Unity'],['Single player'],['First person']
"异化之恶〇Abnormal Treatment ",,,,,,,,,,,,,
"DoronkoWanko ",,,,,,,,,,,,,
Danganronpa: Trigger Happy Havoc,"27,255","1,117","28,372",93.96%,main_game,1290643200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation Portable', 'Android', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Adventure', 'Visual Novel']",82.33333333333333,11.0,,['Single player'],"['First person', 'Third person']"
Sucker for Love,"2,539",38,"2,577",93.96%,main_game,1639526400,['PC (Microsoft Windows)'],"['Point-and-click', 'Indie', 'Visual Novel']",,,,,
Quake,"13,323",470,"13,793",93.95%,mod,1560729600,['PC (Microsoft Windows)'],['Shooter'],,,,"['Single player', 'Co-operative']",
Zup! F,"8,000",242,"8,242",93.95%,main_game,1576022400,['PC (Microsoft Windows)'],['Indie'],,,,['Single player'],
Dungeon Munchies,"6,419",178,"6,597",93.95%,main_game,1559779200,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Shooter', 'Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",46.0,1.0,['Unity'],['Single player'],['Side view']
Black Mesa,"111,927","5,533","117,460",93.94%,remake,1583452800,"['PC (Microsoft Windows)', 'Linux']","['Shooter', 'Platform', 'Adventure', 'Indie']",87.66666666666667,3.0,['Source'],"['Single player', 'Multiplayer']",['First person']
FTL: Faster Than Light,"69,273","3,256","72,529",93.94%,main_game,1347580800,"['PC (Microsoft Windows)', 'Linux', 'iOS', 'Mac']","['Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",88.8,6.0,,['Single player'],['Bird view / Isometric']
Hook,"8,563",267,"8,830",93.93%,main_game,1421798400,"['PC (Microsoft Windows)', 'Windows Phone', 'Android', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Puzzle', 'Indie']",,,,['Single player'],['Side view']
Alpaca Stacka,"5,421",141,"5,562",93.93%,main_game,1627516800,"['PC (Microsoft Windows)', 'Mac']","['Platform', 'Adventure', 'Indie']",,,['Unity'],['Single player'],['Third person']
A Space for the Unbound,"4,933",122,"5,055",93.93%,main_game,1674086400,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Puzzle', 'Adventure', 'Indie']",,,,['Single player'],['Side view']
Minami Lane,"3,419",68,"3,487",93.93%,main_game,1709078400,"['PC (Microsoft Windows)', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Strategy', 'Indie']",,,['Unity3D'],['Single player'],['Bird view / Isometric']
Star Fetchers,"6,749",194,"6,943",93.91%,main_game,1579219200,['PC (Microsoft Windows)'],"['Adventure', 'Indie']",,,,['Single player'],
Portal Reloaded,"19,529",763,"20,292",93.90%,mod,1618790400,['PC (Microsoft Windows)'],['Puzzle'],,,['Source'],['Single player'],['First person']
Tiny Rogues,"8,353",261,"8,614",93.90%,main_game,1663891200,['PC (Microsoft Windows)'],"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",,,['Unity 3d'],['Single player'],['Bird view / Isometric']
Minishoot' Adventures,"3,472",71,"3,543",93.90%,main_game,1712016000,['PC (Microsoft Windows)'],"['Shooter', 'Adventure', 'Indie']",95.0,2.0,,['Single player'],['Bird view / Isometric']
Kenshi,"84,262","4,101","88,363",93.89%,main_game,1544054400,['PC (Microsoft Windows)'],"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",84.0,1.0,['OGRE'],['Single player'],"['Third person', 'Bird view / Isometric']"
ENDER MAGNOLIA: Bloom in the Mist,"3,951",88,"4,039",93.89%,main_game,1711324800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Role-playing (RPG)', 'Adventure']",,,,['Single player'],['Side view']
Portal Stories: Mel,"21,156",845,"22,001",93.88%,mod,1437782400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Strategy', 'Adventure']",,,['Source'],['Single player'],['First person']
DREDGE,"33,734","1,467","35,201",93.87%,main_game,1680134400,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure']",85.6,7.0,['Unity'],['Single player'],['Bird view / Isometric']
Cats Organized Neatly,"4,006",91,"4,097",93.87%,main_game,1602460800,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Puzzle', 'Indie', 'Card & Board Game']",,,,['Single player'],['Side view']
The Elder Scrolls V: Skyrim,"300,001","16,290","316,291",93.86%,main_game,1320883200,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360']","['Role-playing (RPG)', 'Adventure']",79.91666666666667,13.0,['Creation Engine'],['Single player'],"['First person', 'Third person']"
What Remains of Edith Finch,"39,425","1,764","41,189",93.85%,main_game,1492992000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Puzzle', 'Adventure', 'Indie']",86.95238095238095,24.0,['Unreal Engine 4'],['Single player'],['First person']
CarX Drift Racing Online,"75,687","3,683","79,370",93.84%,dlc_addon,1510876800,"['Android', 'iOS', 'Nintendo Switch', 'PlayStation 4', 'PC (Microsoft Windows)', 'Windows Phone', 'Xbox One']","['Racing', 'Simulator', 'Sport']",,,,,
Like a Dragon Gaiden: The Man Who Erased His Name,"8,413",269,"8,682",93.84%,main_game,1699488000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",80.2,8.0,['Dragon Engine'],['Single player'],['Third person']
UNBEATABLE [white label],"7,842",245,"8,087",93.84%,standalone_expansion,1620345600,['PC (Microsoft Windows)'],"['Music', 'Adventure', 'Indie']",,,,['Single player'],['Side view']
At Home Alone Final,"6,490",189,"6,679",93.84%,main_game,1640908800,['PC (Microsoft Windows)'],"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",,,,['Single player'],['Bird view / Isometric']
Rabbit and Steel,"6,122",174,"6,296",93.84%,main_game,1715212800,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Indie']",,,['GameMaker Studio 2'],"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
Fox Hime Zero,"5,289",141,"5,430",93.84%,main_game,1527120000,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Indie']",,,,['Single player'],
Psychonauts 2,"10,940",380,"11,320",93.83%,main_game,1629763200,"['PC (Microsoft Windows)', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Platform', 'Adventure']",87.11111111111111,11.0,['Unreal Engine 4'],['Single player'],['Third person']
Spirit City: Lofi Sessions,"5,855",164,"6,019",93.83%,main_game,1712534400,['PC (Microsoft Windows)'],"['Point-and-click', 'Simulator', 'Indie']",,,['Unreal Engine 5'],['Single player'],['Side view']
Detroit: Become Human,"120,237","6,145","126,382",93.82%,main_game,1527206400,"['PC (Microsoft Windows)', 'PlayStation 4']","['Puzzle', 'Adventure']",77.61538461538461,15.0,,['Single player'],['Third person']
Streets of Rogue,"20,326",821,"21,147",93.82%,main_game,1562803200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Shooter', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",84.0,3.0,['Unity'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric']
Mullet Mad Jack,"4,602",116,"4,718",93.82%,main_game,1715731200,['PC (Microsoft Windows)'],"['Shooter', 'Indie']",89.33333333333333,4.0,,['Single player'],['First person']
Hello Charlotte: Childhood's End,"2,249",33,"2,282",93.82%,main_game,1515110400,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",,,['RPG Maker'],['Single player'],
Cult of the Lamb,"83,048","4,110","87,158",93.81%,main_game,1660176000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",88.83333333333333,8.0,['Unity'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric']
Halls of Torment,"23,123",963,"24,086",93.80%,main_game,1724630400,"['PC (Microsoft Windows)', 'Android', 'Linux', 'iOS']","['Role-playing (RPG)', 'Indie']",90.0,1.0,['Godot Engine'],['Single player'],
Monster Train,"19,582",788,"20,370",93.80%,main_game,1590019200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'Xbox One', 'iOS', 'Nintendo Switch']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",85.4,6.0,['Unity'],"['Single player', 'Multiplayer']",['Side view']
Epiphyllum in Love,"2,102",29,"2,131",93.80%,main_game,1584316800,['PC (Microsoft Windows)'],"['Adventure', 'Indie', 'Visual Novel']",,,,,
It Takes Two,"168,891","8,939","177,830",93.79%,main_game,1616630400,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Puzzle', 'Adventure']",90.26666666666668,19.0,['Unreal Engine 4'],"['Multiplayer', 'Co-operative', 'Split screen']",['Third person']
Bugsnax,"5,763",164,"5,927",93.78%,port,1689120000,['iOS'],"['Puzzle', 'Adventure', 'Indie']",,,,['Single player'],['First person']
Katawa Shoujo,"1,756",19,"1,775",93.78%,port,1723680000,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Indie', 'Visual Novel']",,,"[""Ren'Py""]",['Single player'],['Text']
Being a DIK,"10,645",375,"11,020",93.77%,main_game,1581638400,['PC (Microsoft Windows)'],"['Point-and-click', 'Role-playing (RPG)', 'Indie', 'Visual Novel']",,,"[""Ren'Py Visual Novel Engine""]",['Single player'],['Text']
100 Asian Cats,"5,924",171,"6,095",93.77%,main_game,1702771200,['PC (Microsoft Windows)'],"['Point-and-click', 'Puzzle', 'Indie']",,,['Unity'],['Single player'],['Side view']
REFLEXIA Prototype ver.,"5,898",170,"6,068",93.77%,main_game,1661904000,['PC (Microsoft Windows)'],['Visual Novel'],,,,,
Snake Force,"5,273",145,"5,418",93.77%,main_game,1637280000,['PC (Microsoft Windows)'],"['Shooter', 'Indie']",,,,['Single player'],['Bird view / Isometric']
In Stars And Time,"3,583",80,"3,663",93.77%,main_game,1700438400,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Nintendo Switch']","['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']",90.0,1.0,['RPG Maker'],['Single player'],['Bird view / Isometric']
Kerbal Space Program,"117,261","6,071","123,332",93.76%,main_game,1430092800,"['PC (Microsoft Windows)', 'Wii U', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Indie']",86.57142857142857,9.0,['Unity'],['Single player'],"['First person', 'Third person', 'Bird view / Isometric']"
Rivals of Aether,"32,573","1,450","34,023",93.76%,main_game,1490659200,"['PC (Microsoft Windows)', 'Xbox One', 'Nintendo Switch']","['Fighting', 'Platform', 'Indie']",,,"['GameMaker Studio', 'GameMaker Studio 2']","['Single player', 'Multiplayer', 'Co-operative']",['Side view']
Picayune Dreams,"1,911",24,"1,935",93.76%,main_game,1701648000,['PC (Microsoft Windows)'],"['Shooter', 'Indie', 'Arcade']",,,,['Single player'],['Bird view / Isometric']
Besiege,"46,027","2,156","48,183",93.75%,main_game,1581984000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Strategy', 'Indie']",85.0,1.0,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['Third person']
Nuclear Throne,"16,878",669,"17,547",93.75%,mod,1510444800,['PC (Microsoft Windows)'],"['Shooter', 'Arcade']",,,['Game Maker Studio'],,['Bird view / Isometric']
Tinykin,"2,500",43,"2,543",93.75%,main_game,1661817600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",82.66666666666667,4.0,,['Single player'],['Third person']
The Void Rains Upon Her Heart,"1,372",9,"1,381",93.75%,main_game,1518566400,['PC (Microsoft Windows)'],"['Shooter', 'Indie']",,,['GameMaker'],['Single player'],
